IN_LINK_ID,OUT_LINK_ID,TURN_RATIO,DAY,TIME_OF_DAY,WEIGHT
4932995149329981,4932998149329995,0.10643,09-Apr-2015,20:40:00,1
4932995149329981,4932998149329995,0.10540999999999999,09-Apr-2015,20:45:00,1
4932995149329981,4932998149329995,0.10086,09-Apr-2015,20:50:00,1
4932995149329981,4932998149329995,0.10167999999999999,09-Apr-2015,20:55:00,1
4932995149329981,4932998149329995,0.10047,09-Apr-2015,21:00:00,1
4932995149329981,4932998149329995,0.10099999999999999,09-Apr-2015,21:05:00,1
4932995149329981,4932998149329995,0.10262,09-Apr-2015,21:10:00,1
4932995149329981,4932998149329995,0.10303,09-Apr-2015,21:15:00,1
4932995149329981,4932998149329995,0.10394,09-Apr-2015,21:20:00,1
4932995149329981,4932998149329995,0.10405,09-Apr-2015,21:25:00,1
4932995149329981,4932998149329995,0.10375999999999999,09-Apr-2015,21:30:00,1
4932995149329981,4932998149329995,0.10386,09-Apr-2015,21:35:00,1
4932995149329981,4932998149329995,0.10354000000000001,09-Apr-2015,21:40:00,1
4932995149329981,4932998149329995,0.10678,09-Apr-2015,21:45:00,1
4932995149329981,4932998149329995,0.10745,09-Apr-2015,21:50:00,1
4932995149329981,4932998149329995,0.10725,09-Apr-2015,21:55:00,1
4932995149329981,4932998149329995,0.10457000000000001,09-Apr-2015,22:00:00,1
4932995149329981,4932998149329995,0.10540999999999999,09-Apr-2015,22:05:00,1
4932995149329981,4932998149329995,0.10344,09-Apr-2015,22:10:00,1
4932995149329981,4932998149329995,0.10057999999999999,09-Apr-2015,22:15:00,1
4932995149329981,4932998149329995,0.10128,09-Apr-2015,22:20:00,1
4932995149329981,4932998149329995,0.10149,09-Apr-2015,22:25:00,1
4932995149329981,4932998149329995,0.10117999999999999,09-Apr-2015,22:30:00,1
4932995149329981,4932998149329995,0.10134,09-Apr-2015,22:35:00,1
4932995149329981,4932998149329995,0.10159,09-Apr-2015,22:40:00,1
4932995149329981,4932998149329995,0.1012,09-Apr-2015,22:45:00,1
4932995149329981,4932998149329995,0.10595999999999998,09-Apr-2015,22:50:00,1
4932995149329981,4932998149329995,0.10474000000000001,09-Apr-2015,22:55:00,1
4932995149329981,4932998149329995,0.10259000000000001,09-Apr-2015,23:00:00,1
4932995149329981,4932998149329995,0.10764000000000001,09-Apr-2015,23:05:00,1
4932995149329981,4932998149329995,0.11288,09-Apr-2015,23:10:00,1
4932995149329981,4932998149329995,0.09764,09-Apr-2015,23:15:00,1
4932995149329981,4932998149329995,0.09663,09-Apr-2015,23:20:00,1
4932995149329981,4932998149329995,0.09542,09-Apr-2015,23:25:00,1
4932995149329981,4932998149329995,0.09291,09-Apr-2015,23:30:00,1
4932995149329981,4932998149329995,0.08753999999999999,09-Apr-2015,23:35:00,1
4932995149329981,4932998149329995,0.08769,09-Apr-2015,23:40:00,1
4932995149329981,4932998149329995,0.07998999999999999,09-Apr-2015,23:45:00,1
4932995149329981,4932998149329995,0.07933,09-Apr-2015,23:50:00,1
4932995149329981,4932998149329995,0.07722000000000001,09-Apr-2015,23:55:00,1
4932995149329981,49329981941017052,0.92755,09-Apr-2015,00:00:00,1
4932995149329981,49329981941017052,0.92004,09-Apr-2015,00:05:00,1
4932995149329981,49329981941017052,0.91907,09-Apr-2015,00:10:00,1
4932995149329981,49329981941017052,0.92051,09-Apr-2015,00:15:00,1
