LINK_ID,DAY,TIME_OF_DAY,FLOW
-24017890,09-Apr-2015,18:35:00,1197.81828
-24017890,09-Apr-2015,18:40:00,1167.27264
-24017890,09-Apr-2015,18:45:00,1188
-24017890,09-Apr-2015,18:50:00,1183.63644
-24017890,09-Apr-2015,18:55:00,1158.54552
-24017890,09-Apr-2015,19:00:00,1143.27288
-24017890,09-Apr-2015,19:05:00,1125.81828
-24017890,09-Apr-2015,19:10:00,1095.27264
-24017890,09-Apr-2015,19:15:00,1042.9092
-24017890,09-Apr-2015,19:20:00,1010.18196
-24017890,09-Apr-2015,19:25:00,957.81816
-24017890,09-Apr-2015,19:30:00,937.0908
-24017890,09-Apr-2015,19:35:00,898.9092
-24017890,09-Apr-2015,19:40:00,853.09092
-24017890,09-Apr-2015,19:45:00,823.63644
-24017890,09-Apr-2015,19:50:00,807.27264
-24017890,09-Apr-2015,19:55:00,786.54528
-24017890,09-Apr-2015,20:00:00,769.09104
-24017890,09-Apr-2015,20:05:00,746.18172
-24017890,09-Apr-2015,20:10:00,710.18172
-24017890,09-Apr-2015,20:15:00,682.9092
-24017890,09-Apr-2015,20:20:00,658.90908
-24017890,09-Apr-2015,20:25:00,646.9092
-24017890,09-Apr-2015,20:30:00,640.36368
-24017890,09-Apr-2015,20:35:00,621.81828
-24017890,09-Apr-2015,20:40:00,613.0908
-24017890,09-Apr-2015,20:45:00,576
-24017890,09-Apr-2015,20:50:00,569.45448
-24017890,09-Apr-2015,20:55:00,551.99988
-24017890,09-Apr-2015,21:00:00,551.99988
-24017890,09-Apr-2015,21:05:00,555.27264
-24017890,09-Apr-2015,21:10:00,549.81828
-24017890,09-Apr-2015,21:15:00,542.18196
-24017890,09-Apr-2015,21:20:00,526.90896
-24017890,09-Apr-2015,21:25:00,515.99988
-24017890,09-Apr-2015,21:30:00,514.90908
-24017890,09-Apr-2015,21:35:00,504
-24017890,09-Apr-2015,21:40:00,511.63632
-24017890,09-Apr-2015,21:45:00,504
-24017890,09-Apr-2015,21:50:00,500.72724
-24017890,09-Apr-2015,21:55:00,477.81828
-24017890,09-Apr-2015,22:00:00,466.9092
-24017890,09-Apr-2015,22:05:00,445.09104
-24017890,09-Apr-2015,22:10:00,424.36368
-24017890,09-Apr-2015,22:15:00,417.81816
-24017890,09-Apr-2015,22:20:00,404.72712
-24017890,09-Apr-2015,22:25:00,385.09092
-24017890,09-Apr-2015,22:30:00,365.45472
-24017890,09-Apr-2015,22:35:00,349.09092
-24017890,09-Apr-2015,22:40:00,334.90908
-24017890,09-Apr-2015,22:45:00,329.45472
-24017890,09-Apr-2015,22:50:00,310.90896
-24017890,09-Apr-2015,22:55:00,295.63632
-24017890,09-Apr-2015,23:00:00,289.0908
-24017890,09-Apr-2015,23:05:00,290.18196
-24017890,09-Apr-2015,23:10:00,269.4546
-24017890,09-Apr-2015,23:15:00,256.36356
-24017890,09-Apr-2015,23:20:00,243.27288
-24017890,09-Apr-2015,23:25:00,227.99988
-24017890,09-Apr-2015,23:30:00,208.36368
-24017890,09-Apr-2015,23:35:00,200.40012
-24017890,09-Apr-2015,23:40:00,180
-24017890,09-Apr-2015,23:45:00,177.00012
-24017890,09-Apr-2015,23:50:00,168.00012
-24017890,09-Apr-2015,23:55:00,162
