IN_LINK_ID,OUT_LINK_ID,DAY,TIME_OF_DAY,TURN_RATIO
782790509,-24017890,09-Apr-2015,08:45:00,0.13206
782790509,-24017890,09-Apr-2015,08:50:00,0.13176
782790509,-24017890,09-Apr-2015,08:55:00,0.13177
782790509,-24017890,09-Apr-2015,09:00:00,0.12839
782790509,-24017890,09-Apr-2015,09:05:00,0.12804
782790509,-24017890,09-Apr-2015,09:10:00,0.1272
782790509,-24017890,09-Apr-2015,09:15:00,0.12382
782790509,-24017890,09-Apr-2015,09:20:00,0.12317
782790509,-24017890,09-Apr-2015,09:25:00,0.12161
782790509,-24017890,09-Apr-2015,09:30:00,0.11639
782790509,-24017890,09-Apr-2015,09:35:00,0.11577
782790509,-24017890,09-Apr-2015,09:40:00,0.11677
782790509,-24017890,09-Apr-2015,09:45:00,0.117
782790509,-24017890,09-Apr-2015,09:50:00,0.11765
782790509,-24017890,09-Apr-2015,09:55:00,0.12093
782790509,-24017890,09-Apr-2015,10:00:00,0.12046
782790509,-24017890,09-Apr-2015,10:05:00,0.12114
782790509,-24017890,09-Apr-2015,10:10:00,0.12011
782790509,-24017890,09-Apr-2015,10:15:00,0.11838
782790509,-24017890,09-Apr-2015,10:20:00,0.11701
782790509,-24017890,09-Apr-2015,10:25:00,0.11692
782790509,-24017890,09-Apr-2015,10:30:00,0.11332
782790509,-24017890,09-Apr-2015,10:35:00,0.10889
782790509,-24017890,09-Apr-2015,10:40:00,0.1058
782790509,-24017890,09-Apr-2015,10:45:00,0.10282
782790509,-24017890,09-Apr-2015,10:50:00,0.09821
782790509,-24017890,09-Apr-2015,10:55:00,0.09223
782790509,-24017890,09-Apr-2015,11:00:00,0.09018
782790509,-24017890,09-Apr-2015,11:05:00,0.09073
782790509,-24017890,09-Apr-2015,11:10:00,0.08945
782790509,-24017890,09-Apr-2015,11:15:00,0.08905
782790509,-24017890,09-Apr-2015,11:20:00,0.08791
782790509,-24017890,09-Apr-2015,11:25:00,0.08927
782790509,-24017890,09-Apr-2015,11:30:00,0.09402
782790509,-24017890,09-Apr-2015,11:35:00,0.09749
782790509,-24017890,09-Apr-2015,11:40:00,0.10069
782790509,-24017890,09-Apr-2015,11:45:00,0.10409
782790509,-24017890,09-Apr-2015,11:50:00,0.10553
782790509,-24017890,09-Apr-2015,11:55:00,0.10473
782790509,-24017890,09-Apr-2015,12:00:00,0.10563
782790509,-24017890,09-Apr-2015,12:05:00,0.10755
782790509,-24017890,09-Apr-2015,12:10:00,0.10768
782790509,-24017890,09-Apr-2015,12:15:00,0.10676
782790509,-24017890,09-Apr-2015,12:20:00,0.10594
782790509,-24017890,09-Apr-2015,12:25:00,0.10378
782790509,-24017890,09-Apr-2015,12:30:00,0.10199
782790509,-24017890,09-Apr-2015,12:35:00,0.09591
782790509,-24017890,09-Apr-2015,12:40:00,0.09141
782790509,-24017890,09-Apr-2015,12:45:00,0.09043
782790509,-24017890,09-Apr-2015,12:50:00,0.08926
782790509,-24017890,09-Apr-2015,12:55:00,0.08632
782790509,-24017890,09-Apr-2015,13:00:00,0.08423
782790509,-24017890,09-Apr-2015,13:05:00,0.08326
782790509,-24017890,09-Apr-2015,13:10:00,0.0854
782790509,-24017890,09-Apr-2015,13:15:00,0.08609
782790509,-24017890,09-Apr-2015,13:20:00,0.08675
782790509,-24017890,09-Apr-2015,13:25:00,0.08778
782790509,-24017890,09-Apr-2015,13:30:00,0.09381
782790509,-24017890,09-Apr-2015,13:35:00,0.0935
782790509,-24017890,09-Apr-2015,13:40:00,0.09407
782790509,-24017890,09-Apr-2015,13:45:00,0.09437
782790509,-24017890,09-Apr-2015,13:50:00,0.09578
782790509,-24017890,09-Apr-2015,13:55:00,0.09499
782790509,-24017890,09-Apr-2015,14:00:00,0.09368
782790509,-24017890,09-Apr-2015,14:05:00,0.09179
782790509,-24017890,09-Apr-2015,14:10:00,0.08768
782790509,-24017890,09-Apr-2015,14:15:00,0.08446
782790509,-24017890,09-Apr-2015,14:20:00,0.08102
782790509,-24017890,09-Apr-2015,14:25:00,0.07883
782790509,-24017890,09-Apr-2015,14:30:00,0.08013
782790509,-24017890,09-Apr-2015,14:35:00,0.08128
782790509,-24017890,09-Apr-2015,14:40:00,0.08007
782790509,-24017890,09-Apr-2015,14:45:00,0.07996
782790509,-24017890,09-Apr-2015,14:50:00,0.08259
782790509,-24017890,09-Apr-2015,14:55:00,0.08548
782790509,-24017890,09-Apr-2015,15:00:00,0.08588
782790509,-24017890,09-Apr-2015,15:05:00,0.08935
782790509,-24017890,09-Apr-2015,15:10:00,0.09172
782790509,-24017890,09-Apr-2015,15:15:00,0.0969
782790509,-24017890,09-Apr-2015,15:20:00,0.0945
782790509,-24017890,09-Apr-2015,15:25:00,0.09132
782790509,-24017890,09-Apr-2015,15:30:00,0.09315
782790509,-24017890,09-Apr-2015,15:35:00,0.09204
782790509,-24017890,09-Apr-2015,15:40:00,0.08859
782790509,-24017890,09-Apr-2015,15:45:00,0.08479
782790509,-24017890,09-Apr-2015,15:50:00,0.08341
782790509,-24017890,09-Apr-2015,15:55:00,0.08338
782790509,-24017890,09-Apr-2015,16:00:00,0.08304
782790509,-24017890,09-Apr-2015,16:05:00,0.08199
782790509,-24017890,09-Apr-2015,16:10:00,0.07888
782790509,-24017890,09-Apr-2015,16:15:00,0.08003
782790509,-24017890,09-Apr-2015,16:20:00,0.08256
782790509,-24017890,09-Apr-2015,16:25:00,0.08035
782790509,-24017890,09-Apr-2015,16:30:00,0.08178
782790509,-24017890,09-Apr-2015,16:35:00,0.08575
782790509,-24017890,09-Apr-2015,16:40:00,0.0884
782790509,-24017890,09-Apr-2015,16:45:00,0.09028
782790509,-24017890,09-Apr-2015,16:50:00,0.08991
782790509,-24017890,09-Apr-2015,16:55:00,0.09165
782790509,-24017890,09-Apr-2015,17:00:00,0.09459
782790509,-24017890,09-Apr-2015,17:05:00,0.09759
782790509,-24017890,09-Apr-2015,17:10:00,0.09894
782790509,-24017890,09-Apr-2015,17:15:00,0.10214
782790509,-24017890,09-Apr-2015,17:20:00,0.10528
782790509,-24017890,09-Apr-2015,17:25:00,0.10888
782790509,-24017890,09-Apr-2015,17:30:00,0.11055
782790509,-24017890,09-Apr-2015,17:35:00,0.1128
782790509,-24017890,09-Apr-2015,17:40:00,0.11494
