IN_LINK_ID,OUT_LINK_ID,RELATIVE_GREEN,INTERSECTION,MOVEMENT
4932957849329951,4932995149329981,1,0,0
94101704349329951,4932995149329981,1,0,0
941017042298954096,29895409649329585,1,0,0
4932999849330081,49330081941017048,1,0,0
94101704049330014,4933001449330004,1,0,0
94101707449329970,4932997049329960,1,0,0
94101706249329893,4932989349329936,1,0,0
4932993349329891,49329891941017046,1,0,0
94101705949329569,4932956949329576,1,0,0
94101705649329527,4932952749329576,1,0,0
