OBJ_VAL,DAY,TIME_OF_DAY
1.04635757535e-13,09-Apr-2015,22:50:00
1.94255200631e-13,09-Apr-2015,22:55:00
5.10933390794e-13,09-Apr-2015,23:00:00
6.71042890469e-13,09-Apr-2015,23:05:00
1.34953129456e-14,09-Apr-2015,23:10:00
1.88920061247e-14,09-Apr-2015,23:15:00
3.26311606266e-14,09-Apr-2015,23:20:00
3.01100331593e-14,09-Apr-2015,23:25:00
6.83920492756e-14,09-Apr-2015,23:30:00
7.7000600376e-14,09-Apr-2015,23:35:00
1.673846913e-13,09-Apr-2015,23:40:00
1.33526744231e-13,09-Apr-2015,23:45:00
2.09943172274e-13,09-Apr-2015,23:50:00
2.59972194936e-13,09-Apr-2015,23:55:00
